num_tracks,num_albums,num_followers,num_artists,avg_song_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_popularity
177,133,1,63,248144,0.698,0.682,0.074,0.442,0.0,0.211,0.735,71.429
65,30,1,26,238082,0.576,0.626,0.04,0.287,0.0,0.228,0.354,70.375
115,96,1,82,237265,0.619,0.664,0.045,0.285,0.004,0.121,0.545,74.071
114,105,1,100,259217,0.666,0.832,0.072,0.16,0.032,0.16,0.434,68.25
62,58,2,50,230232,0.665,0.781,0.076,0.112,0.021,0.195,0.639,77.167
69,10,1,6,234789,,,,,,,,
132,100,1,64,280558,0.456,0.62,0.032,0.16,0.0,0.194,0.293,52.5
33,29,2,19,233944,,,,,,,,
24,20,1,16,216624,0.572,0.598,0.03,0.42,0.0,0.118,0.504,76.5
65,65,1,61,241768,,,,,,,,
19,17,1,14,222390,0.67,0.687,0.071,0.068,0.0,0.126,0.413,78.0
23,16,1,4,212143,,,,,,,,
194,148,4,102,223366,0.621,0.73,0.084,0.145,0.015,0.136,0.703,72.333
12,11,1,10,251230,,,,,,,,
13,13,1,13,225814,,,,,,,,
38,35,1,31,224028,0.623,0.829,0.066,0.111,0.001,0.141,0.472,68.5
23,20,1,15,249686,0.551,0.739,0.055,0.061,0.012,0.251,0.63,75.111
103,70,1,59,202103,0.551,0.792,0.058,0.232,0.054,0.206,0.765,70.077
168,126,1,82,258170,0.54,0.801,0.077,0.069,0.037,0.184,0.477,73.843
20,18,1,20,224803,0.542,0.637,0.047,0.242,0.02,0.22,0.682,70.0
245,225,1,171,227251,0.697,0.768,0.123,0.101,0.016,0.182,0.598,75.333
176,156,2,118,223173,0.668,0.736,0.089,0.044,0.012,0.226,0.509,73.158
53,39,1,26,222818,,,,,,,,
50,47,1,48,195365,0.627,0.488,0.054,0.634,0.0,0.193,0.828,64.0
26,25,1,24,213452,0.726,0.675,0.093,0.314,0.001,0.092,0.832,82.0
18,18,1,17,215333,0.702,0.653,0.047,0.123,0.0,0.222,0.574,52.0
94,84,3,74,234243,0.619,0.794,0.046,0.136,0.003,0.237,0.691,77.389
205,96,2,45,225939,0.554,0.55,0.047,0.271,0.075,0.242,0.52,69.652
99,92,1,68,251541,0.549,0.682,0.043,0.224,0.0,0.143,0.421,73.684
10,10,1,10,244330,,,,,,,,
20,19,4,18,217244,,,,,,,,
233,200,1,141,243578,0.72,0.664,0.126,0.213,0.0,0.16,0.66,77.786
53,44,1,39,257750,0.434,0.77,0.058,0.041,0.003,0.215,0.446,72.529
32,28,1,22,256490,0.725,0.697,0.256,0.096,0.0,0.231,0.646,70.6
24,20,1,20,230995,,,,,,,,
130,119,1,103,256512,0.547,0.592,0.038,0.306,0.007,0.104,0.554,68.333
44,44,2,40,222719,,,,,,,,
71,60,1,52,247399,0.472,0.194,0.031,0.538,0.175,0.105,0.198,67.0
22,22,1,22,241206,,,,,,,,
109,63,1,47,244305,0.571,0.861,0.069,0.023,0.067,0.242,0.492,57.5
37,23,1,17,223203,0.772,0.672,0.153,0.156,0.0,0.128,0.307,78.667
60,52,4,41,240136,0.62,0.408,0.034,0.698,0.033,0.116,0.588,67.667
46,38,1,14,284555,0.488,0.721,0.083,0.169,0.038,0.22,0.5,77.704
198,59,2,34,224463,0.505,0.831,0.087,0.086,0.006,0.233,0.473,70.622
10,9,1,8,217025,0.652,0.731,0.032,0.199,0.0,0.113,0.812,69.333
141,117,1,93,222358,0.6,0.786,0.059,0.056,0.013,0.267,0.539,72.706
34,25,3,16,236644,,,,,,,,
130,98,2,75,217483,0.629,0.745,0.072,0.12,0.0,0.194,0.565,77.4
42,41,1,32,229433,0.535,0.397,0.035,0.624,0.0,0.117,0.424,71.25
89,74,1,66,222968,0.572,0.813,0.052,0.097,0.01,0.181,0.578,79.333
29,27,1,20,245387,0.526,0.492,0.036,0.504,0.006,0.218,0.47,71.333
50,44,1,41,225804,0.657,0.742,0.089,0.136,0.002,0.185,0.539,71.429
24,20,1,20,239973,0.519,0.419,0.035,0.842,0.288,0.115,0.355,51.0
188,157,2,103,260705,0.648,0.759,0.306,0.014,0.0,0.648,0.518,70.0
22,22,1,16,203835,0.523,0.34,0.035,0.744,0.02,0.103,0.473,65.8
102,94,3,86,226121,0.5,0.632,0.051,0.337,0.002,0.207,0.472,73.286
33,32,1,27,270068,0.58,0.481,0.08,0.388,0.001,0.153,0.316,74.6
7,7,1,7,208708,0.792,0.518,0.062,0.166,0.0,0.176,0.343,72.667
161,118,2,68,234579,0.684,0.713,0.067,0.143,0.064,0.132,0.493,73.667
41,40,1,21,281131,0.577,0.547,0.037,0.15,0.0,0.195,0.634,32.5
61,34,1,22,247919,0.573,0.83,0.063,0.039,0.011,0.205,0.511,71.833
46,43,5,35,230273,0.74,0.698,0.185,0.06,0.0,0.337,0.446,73.0
10,8,2,6,198362,,,,,,,,
55,51,7,41,233939,0.647,0.666,0.037,0.141,0.0,0.134,0.785,74.429
74,40,3,23,235575,0.589,0.392,0.05,0.824,0.002,0.188,0.319,63.667
12,11,1,9,232685,0.505,0.723,0.04,0.177,0.06,0.197,0.632,72.778
134,125,2,110,266832,0.618,0.518,0.04,0.637,0.469,0.066,0.575,58.0
52,42,1,29,256850,0.766,0.727,0.251,0.17,0.052,0.202,0.686,72.444
29,21,1,18,211784,0.53,0.766,0.054,0.014,0.001,0.106,0.374,75.0
41,35,1,33,217985,0.643,0.69,0.076,0.092,0.0,0.144,0.494,77.667
95,89,1,70,259231,0.78,0.695,0.162,0.295,0.016,0.143,0.796,73.857
16,15,1,15,219596,0.641,0.508,0.034,0.448,0.0,0.19,0.6,65.0
18,12,1,4,240946,,,,,,,,
141,106,1,73,216862,0.642,0.641,0.055,0.184,0.001,0.133,0.475,73.417
25,23,1,21,232655,,,,,,,,
70,53,1,38,217450,0.818,0.676,0.198,0.076,0.004,0.172,0.46,81.4
21,20,2,20,232104,0.667,0.716,0.074,0.3,0.0,0.116,0.723,72.25
17,15,1,6,232640,0.49,0.947,0.061,0.011,0.001,0.207,0.474,73.5
27,27,1,21,218421,0.625,0.772,0.041,0.043,0.011,0.299,0.398,65.5
171,142,5,110,215188,0.66,0.6,0.074,0.2,0.005,0.145,0.441,69.842
85,45,1,28,215595,0.445,0.865,0.054,0.012,0.004,0.126,0.373,67.6
50,42,1,41,246447,0.516,0.67,0.04,0.301,0.077,0.147,0.453,74.0
121,109,5,90,226525,0.651,0.732,0.059,0.082,0.002,0.126,0.544,74.8
41,25,1,21,221692,0.663,0.646,0.069,0.086,0.0,0.189,0.605,78.667
17,15,1,15,216194,,,,,,,,
17,17,1,17,264737,0.533,0.459,0.03,0.345,0.002,0.124,0.722,68.333
66,40,2,25,317300,,,,,,,,
70,21,1,11,284150,,,,,,,,
22,19,2,11,233704,,,,,,,,
37,33,1,26,232945,0.804,0.708,0.089,0.014,0.003,0.159,0.591,77.0
14,13,1,12,225832,0.739,0.722,0.045,0.057,0.0,0.106,0.566,73.0
130,115,1,92,224127,0.664,0.603,0.074,0.307,0.018,0.232,0.46,70.222
68,63,1,51,244272,0.428,0.495,0.035,0.408,0.0,0.152,0.2,45.0
29,29,1,28,242466,0.579,0.82,0.038,0.056,0.01,0.343,0.5,67.667
57,55,1,53,248357,0.49,0.644,0.029,0.275,0.679,0.197,0.414,52.0
25,19,1,23,306182,,,,,,,,
79,53,5,52,249347,0.537,0.398,0.086,0.681,0.0,0.234,0.362,76.4
14,12,1,10,226735,,,,,,,,
46,42,1,41,209021,0.598,0.767,0.077,0.038,0.0,0.154,0.615,72.5
64,49,1,31,266624,,,,,,,,
47,45,1,37,230539,0.612,0.667,0.136,0.194,0.0,0.206,0.457,76.5
10,10,2,10,215860,,,,,,,,
49,44,1,40,247219,0.61,0.697,0.08,0.143,0.008,0.1,0.54,77.25
5,5,1,5,241493,0.702,0.655,0.149,0.268,0.0,0.144,0.608,73.5
44,37,1,29,240939,,,,,,,,
90,35,1,31,211444,,,,,,,,
52,41,2,34,213564,0.733,0.697,0.054,0.119,0.0,0.209,0.684,69.0
123,54,1,50,179463,0.566,0.477,0.063,0.862,0.0,0.126,0.829,63.5
79,67,2,45,249783,0.739,0.725,0.135,0.178,0.0,0.21,0.611,76.133
146,115,1,68,221583,0.711,0.73,0.053,0.248,0.0,0.113,0.603,72.5
17,9,1,3,232087,,,,,,,,
157,141,1,113,224581,0.638,0.752,0.106,0.081,0.005,0.225,0.495,72.885
41,39,2,34,214332,0.578,0.782,0.06,0.055,0.093,0.224,0.689,72.0
29,15,1,11,285173,,,,,,,,
148,36,1,18,221587,0.534,0.731,0.042,0.214,0.0,0.116,0.42,73.75
98,93,1,74,217341,0.803,0.733,0.227,0.13,0.003,0.115,0.647,68.636
30,20,1,11,291470,,,,,,,,
68,19,1,35,221379,0.613,0.466,0.23,0.438,0.0,0.195,0.462,63.344
15,13,1,8,227521,,,,,,,,
17,17,1,16,220008,0.611,0.51,0.078,0.492,0.0,0.13,0.552,69.75
120,106,10,76,248918,0.496,0.564,0.04,0.344,0.004,0.204,0.569,72.312
115,103,3,91,268698,0.535,0.562,0.042,0.395,0.051,0.153,0.376,71.833
80,74,1,51,212303,0.671,0.813,0.096,0.105,0.07,0.21,0.666,76.0
111,71,1,47,267228,,,,,,,,
55,41,1,26,245631,,,,,,,,
176,170,1,134,251034,0.597,0.602,0.054,0.29,0.005,0.196,0.565,71.058
18,17,1,14,213663,,,,,,,,
24,23,2,23,260303,,,,,,,,
229,80,9,40,227477,0.455,0.876,0.093,0.023,0.009,0.223,0.405,71.5
50,47,1,44,216958,0.648,0.661,0.056,0.158,0.014,0.177,0.466,72.455
5,5,1,5,240523,,,,,,,,
43,37,1,30,228980,,,,,,,,
40,32,1,25,213703,0.606,0.753,0.103,0.149,0.0,0.13,0.638,75.333
48,46,1,40,246976,0.553,0.723,0.036,0.124,0.0,0.205,0.603,77.3
92,84,3,67,239632,0.596,0.628,0.055,0.244,0.007,0.211,0.661,74.147
22,17,1,17,219625,,,,,,,,
124,53,1,20,230107,0.774,0.581,0.179,0.163,0.008,0.12,0.438,81.25
34,26,1,23,238917,,,,,,,,
151,25,18,7,192077,,,,,,,,
18,16,1,14,205807,0.64,0.722,0.04,0.157,0.004,0.092,0.61,82.5
123,117,1,92,254432,0.582,0.666,0.044,0.184,0.044,0.154,0.665,72.459
67,52,1,33,223649,0.696,0.683,0.024,0.179,0.025,0.102,0.736,73.5
62,57,1,56,215817,0.551,0.732,0.059,0.278,0.006,0.181,0.722,72.833
67,64,1,60,255425,0.505,0.705,0.119,0.055,0.0,0.129,0.484,74.0
18,12,1,13,213449,0.45,0.316,0.087,0.648,0.0,0.322,0.407,68.667
25,20,1,17,196693,0.509,0.373,0.054,0.774,0.001,0.213,0.569,58.0
31,30,1,24,214251,0.648,0.696,0.048,0.296,0.049,0.138,0.837,67.5
31,30,1,23,232327,0.622,0.584,0.042,0.378,0.001,0.175,0.232,79.667
28,16,1,16,212556,,,,,,,,
96,66,1,25,214720,0.641,0.649,0.027,0.396,0.0,0.102,0.679,75.5
78,69,4,53,225176,0.761,0.588,0.197,0.118,0.0,0.172,0.491,75.833
37,28,2,23,221286,0.638,0.828,0.066,0.026,0.0,0.14,0.68,73.857
32,28,22,25,211632,,,,,,,,
66,50,1,38,231899,0.578,0.763,0.045,0.074,0.039,0.166,0.542,76.0
37,25,1,15,247998,,,,,,,,
38,26,4,15,287093,,,,,,,,
88,55,1,49,162948,,,,,,,,
55,31,1,17,236314,,,,,,,,
18,18,1,17,225830,,,,,,,,
145,114,1,77,214561,0.67,0.75,0.062,0.154,0.002,0.204,0.668,75.105
44,40,1,32,222272,0.661,0.524,0.172,0.77,0.0,0.265,0.511,82.0
188,181,4,167,241193,0.564,0.773,0.078,0.051,0.066,0.236,0.405,62.5
120,30,1,23,227560,0.68,0.585,0.058,0.363,0.001,0.12,0.517,68.0
12,12,1,12,224365,0.403,0.831,0.082,0.297,0.0,0.115,0.525,65.5
38,25,1,21,214235,0.589,0.717,0.108,0.109,0.0,0.134,0.376,76.4
35,35,1,35,221211,0.649,0.8,0.089,0.077,0.0,0.286,0.5,73.333
27,26,1,23,210522,,,,,,,,
179,136,2,80,179572,,,,,,,,
22,19,1,17,241442,0.622,0.867,0.064,0.006,0.004,0.171,0.47,73.5
13,12,1,10,228777,0.694,0.584,0.038,0.372,0.001,0.151,0.331,77.0
17,17,1,17,239307,0.458,0.878,0.075,0.024,0.0,0.531,0.39,77.0
59,47,1,39,250065,0.536,0.766,0.051,0.141,0.034,0.195,0.585,76.1
66,50,1,44,219816,0.469,0.846,0.084,0.086,0.016,0.199,0.295,74.667
12,11,1,11,219705,,,,,,,,
46,34,1,25,235489,0.58,0.813,0.078,0.062,0.081,0.16,0.571,76.8
5,5,1,5,200926,,,,,,,,
97,81,1,60,227739,0.628,0.698,0.099,0.082,0.0,0.18,0.431,73.55
55,46,1,27,231500,0.492,0.674,0.056,0.205,0.139,0.157,0.638,69.5
58,18,4,5,306358,0.611,0.418,0.047,0.608,0.022,0.25,0.5,66.333
34,31,1,27,200755,0.764,0.483,0.052,0.11,0.427,0.08,0.424,69.5
108,82,1,67,238211,0.491,0.426,0.037,0.616,0.003,0.138,0.323,65.8
73,51,1,35,255715,0.65,0.599,0.105,0.206,0.0,0.261,0.397,72.667
99,69,1,43,231865,0.836,0.647,0.142,0.093,0.003,0.161,0.517,77.273
42,40,1,38,242674,,,,,,,,
26,20,1,14,225085,,,,,,,,
48,37,1,25,239722,,,,,,,,
10,9,2,9,254386,,,,,,,,
35,32,1,25,229694,,,,,,,,
70,59,1,37,228563,0.514,0.776,0.049,0.246,0.0,0.073,0.579,73.0
38,13,1,27,183007,0.422,0.327,0.069,0.68,0.001,0.188,0.437,63.889
57,16,2,10,203740,,,,,,,,
83,62,1,42,225519,0.826,0.497,0.193,0.105,0.007,0.14,0.307,82.0
47,35,2,38,191899,0.594,0.498,0.052,0.461,0.003,0.386,0.73,57.0
35,31,11,26,237733,0.485,0.491,0.029,0.234,0.0,0.101,0.248,57.5
81,7,1,44,186018,0.647,0.451,0.163,0.385,0.0,0.145,0.497,59.5
49,32,1,19,253665,0.537,0.365,0.034,0.558,0.0,0.131,0.476,62.333
34,27,1,15,239371,,,,,,,,
17,16,1,16,235958,,,,,,,,
21,8,1,18,207926,,,,,,,,
105,90,1,81,239065,0.485,0.59,0.033,0.342,0.075,0.125,0.383,65.231
43,10,1,3,267766,,,,,,,,
48,40,2,29,259653,,,,,,,,
26,25,3,19,215115,0.385,0.817,0.051,0.014,0.004,0.238,0.515,67.0
29,16,1,12,233768,,,,,,,,
24,23,1,20,260553,0.447,0.684,0.037,0.227,0.0,0.174,0.356,74.0
17,16,1,16,244118,,,,,,,,
47,45,1,42,227275,0.585,0.841,0.058,0.116,0.009,0.182,0.677,77.917
51,43,1,32,239600,0.838,0.777,0.212,0.082,0.0,0.325,0.689,67.0
56,46,1,31,188255,,,,,,,,
23,23,1,22,234672,,,,,,,,
6,4,1,4,202080,,,,,,,,
38,37,1,23,250153,0.684,0.665,0.289,0.358,0.0,0.134,0.361,66.5
29,26,2,20,237168,0.535,0.741,0.058,0.103,0.005,0.202,0.612,76.105
54,49,1,43,250975,0.765,0.681,0.103,0.094,0.24,0.144,0.521,69.333
30,27,2,23,236311,,,,,,,,
11,10,1,9,237276,,,,,,,,
63,50,1,38,227401,0.6,0.497,0.034,0.393,0.004,0.141,0.383,67.875
26,26,2,25,213180,0.609,0.647,0.06,0.245,0.003,0.101,0.453,77.0
31,7,1,3,216964,0.635,0.661,0.08,0.157,0.0,0.094,0.478,78.75
35,33,3,29,314651,,,,,,,,
30,22,1,12,236286,0.516,0.799,0.052,0.034,0.001,0.132,0.508,79.688
74,63,3,40,301069,0.415,0.657,0.042,0.115,0.0,0.274,0.278,54.737
34,18,1,26,194095,0.409,0.282,0.077,0.706,0.0,0.2,0.474,63.067
101,80,3,51,249332,0.523,0.748,0.055,0.087,0.035,0.225,0.578,76.647
18,18,1,15,177248,0.599,0.441,0.065,0.58,0.0,0.087,0.693,77.333
123,97,4,48,208683,0.603,0.467,0.037,0.287,0.002,0.181,0.695,74.75
89,70,3,41,261328,,,,,,,,
179,170,1,149,255576,0.633,0.73,0.063,0.123,0.129,0.21,0.445,64.769
135,118,5,92,247676,0.605,0.699,0.045,0.166,0.002,0.174,0.663,73.743
60,46,2,29,197389,,,,,,,,
55,37,2,30,246702,0.353,0.17,0.034,0.485,0.819,0.091,0.08,56.25
124,101,1,80,239016,0.49,0.797,0.05,0.048,0.044,0.186,0.547,73.552
143,94,2,57,212898,0.852,0.601,0.169,0.157,0.003,0.175,0.462,74.75
5,5,1,4,234120,0.572,0.512,0.029,0.329,0.0,0.099,0.609,70.5
8,8,1,7,227611,,,,,,,,
118,80,1,57,238329,0.545,0.728,0.045,0.19,0.008,0.152,0.493,73.19
126,77,4,47,364032,0.383,0.593,0.034,0.151,0.0,0.312,0.207,51.385
23,17,1,15,197361,,,,,,,,
209,165,3,127,239924,0.64,0.594,0.079,0.318,0.032,0.174,0.468,72.273
167,127,1,111,259466,0.572,0.672,0.081,0.224,0.005,0.116,0.517,70.769
32,29,1,25,247331,0.552,0.748,0.05,0.156,0.034,0.184,0.645,76.471
35,31,1,23,187008,0.507,0.457,0.082,0.51,0.0,0.161,0.601,73.5
16,6,6,5,290201,,,,,,,,
12,12,2,11,221794,0.592,0.614,0.05,0.215,0.0,0.171,0.246,73.0
28,13,1,3,233972,,,,,,,,
202,119,1,76,222210,0.648,0.716,0.051,0.113,0.006,0.18,0.509,74.125
26,25,1,24,203337,0.681,0.76,0.062,0.085,0.0,0.154,0.561,75.75
83,70,1,40,238401,0.709,0.801,0.086,0.196,0.0,0.178,0.662,74.8
59,54,1,49,234584,0.647,0.7,0.106,0.176,0.005,0.217,0.4,67.143
28,24,1,18,195799,,,,,,,,
23,16,3,10,236683,0.599,0.401,0.048,0.736,0.003,0.109,0.283,75.0
64,57,1,45,269242,0.528,0.727,0.085,0.233,0.021,0.23,0.633,70.222
70,62,1,45,222756,0.647,0.696,0.151,0.189,0.0,0.167,0.557,77.25
38,25,1,23,198426,0.67,0.383,0.17,0.208,0.007,0.144,0.391,77.333
161,151,1,124,256434,0.514,0.481,0.114,0.325,0.124,0.224,0.402,71.0
75,58,1,42,225189,0.556,0.701,0.056,0.147,0.0,0.114,0.51,75.333
54,52,1,45,222440,0.632,0.776,0.101,0.062,0.0,0.151,0.628,70.4
132,121,1,107,224339,0.663,0.666,0.089,0.126,0.012,0.242,0.534,75.769
79,74,1,63,234927,0.633,0.781,0.071,0.182,0.006,0.2,0.57,72.0
236,163,1,114,217688,0.571,0.462,0.057,0.49,0.002,0.116,0.451,68.704
101,90,1,58,246214,0.512,0.75,0.062,0.152,0.059,0.177,0.548,73.542
46,41,1,37,218708,0.664,0.774,0.103,0.055,0.0,0.218,0.606,73.714
128,114,15,90,229765,0.54,0.635,0.049,0.133,0.116,0.168,0.441,70.133
9,6,1,4,253012,0.428,0.637,0.084,0.426,0.009,0.322,0.386,66.5
118,85,1,56,240504,0.495,0.82,0.065,0.076,0.004,0.205,0.515,75.52
25,15,1,12,228088,0.857,0.656,0.281,0.238,0.0,0.204,0.707,73.5
60,42,1,26,290948,,,,,,,,
44,33,2,27,185480,0.708,0.597,0.06,0.501,0.0,0.216,0.952,66.5
15,15,1,14,245059,,,,,,,,
10,8,1,7,247802,,,,,,,,
63,42,2,36,230937,0.523,0.537,0.097,0.393,0.0,0.125,0.269,70.6
122,111,1,88,233731,0.531,0.637,0.046,0.267,0.006,0.201,0.623,73.022
82,57,1,36,239913,0.618,0.552,0.032,0.354,0.005,0.167,0.511,68.071
88,77,1,66,237922,0.606,0.723,0.1,0.071,0.002,0.297,0.422,68.727
22,12,1,12,222721,,,,,,,,
69,37,1,15,220328,0.545,0.662,0.034,0.329,0.0,0.159,0.473,72.5
99,75,7,55,226731,0.46,0.793,0.047,0.373,0.001,0.244,0.795,25.5
134,103,3,67,222449,0.7,0.677,0.106,0.107,0.0,0.16,0.639,74.625
54,39,1,33,247018,0.531,0.619,0.035,0.408,0.0,0.13,0.266,72.0
14,14,2,13,258391,,,,,,,,
31,30,2,29,199674,0.65,0.598,0.03,0.281,0.0,0.137,0.594,73.0
46,43,2,37,238735,0.472,0.75,0.04,0.187,0.0,0.15,0.297,69.333
27,26,1,23,253680,0.58,0.516,0.032,0.377,0.002,0.103,0.441,70.6
23,22,1,16,224980,0.525,0.491,0.033,0.506,0.003,0.136,0.408,66.429
