,playlist_id,num_tracks,num_albums,num_followers,num_artists,avg_song_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_popularity
76,50,32,31,4,29,217656,0.6920000000000001,0.71,0.068,0.20199999999999999,0.0,0.253,0.568,74.4
80,51,66,54,1,30,244651,0.583,0.53,0.033,0.40299999999999997,0.002,0.14,0.331,61.231
81,52,64,38,1,24,252826,0.858,0.685,0.151,0.098,0.0,0.066,0.755,82.667
83,53,69,48,2,22,228475,0.512,0.636,0.068,0.44299999999999995,0.0,0.132,0.68,68.0
84,54,39,35,1,26,268144,0.6,0.78,0.155,0.13,0.134,0.244,0.5579999999999999,75.333
85,55,72,63,2,45,250353,0.614,0.649,0.065,0.233,0.038,0.125,0.526,77.421
86,56,42,31,1,23,249817,0.772,0.374,0.09300000000000001,0.22,0.0,0.15,0.395,76.5
89,57,92,85,1,82,252496,0.61,0.6729999999999999,0.039,0.20800000000000002,0.03,0.183,0.617,71.03399999999999
90,58,103,76,2,41,217803,0.586,0.7490000000000001,0.065,0.174,0.0,0.49,0.8140000000000001,53.0
93,59,98,82,1,67,222478,0.622,0.688,0.055,0.20199999999999999,0.004,0.159,0.564,77.667
94,60,124,112,1,97,222405,0.557,0.5479999999999999,0.043,0.377,0.008,0.171,0.38,69.59100000000001
95,61,170,133,1,90,236206,0.762,0.69,0.168,0.195,0.013000000000000001,0.275,0.455,74.1
97,62,233,56,1,42,234482,0.429,0.775,0.039,0.031,0.005,0.111,0.39799999999999996,75.4
99,63,42,38,2,35,199566,0.475,0.402,0.09,0.573,0.026000000000000002,0.096,0.5489999999999999,61.75
101,64,22,21,1,21,223740,0.664,0.429,0.039,0.426,0.0,0.124,0.691,71.5
103,65,177,133,1,63,248144,0.698,0.682,0.07400000000000001,0.442,0.0,0.21100000000000002,0.735,71.429
104,66,65,30,1,26,238082,0.5760000000000001,0.626,0.04,0.287,0.0,0.228,0.354,70.375
105,67,115,96,1,82,237265,0.619,0.664,0.045,0.285,0.004,0.121,0.545,74.071
106,68,114,105,1,100,259217,0.6659999999999999,0.8320000000000001,0.07200000000000001,0.16,0.032,0.16,0.434,68.25
107,69,62,58,2,50,230232,0.665,0.7809999999999999,0.076,0.11199999999999999,0.021,0.195,0.639,77.167
109,70,132,100,1,64,280558,0.456,0.62,0.032,0.16,0.0,0.19399999999999998,0.293,52.5
111,71,24,20,1,16,216624,0.5720000000000001,0.598,0.03,0.42,0.0,0.11800000000000001,0.504,76.5
113,72,19,17,1,14,222390,0.67,0.687,0.071,0.068,0.0,0.126,0.413,78.0
115,73,194,148,4,102,223366,0.621,0.73,0.084,0.145,0.015,0.136,0.703,72.333
118,74,38,35,1,31,224028,0.623,0.8290000000000001,0.066,0.111,0.001,0.141,0.47200000000000003,68.5
119,75,23,20,1,15,249686,0.551,0.7390000000000001,0.055,0.061,0.012,0.251,0.63,75.111
120,76,103,70,1,59,202103,0.551,0.792,0.057999999999999996,0.23199999999999998,0.054000000000000006,0.20600000000000002,0.765,70.077
121,77,168,126,1,82,258170,0.54,0.8009999999999999,0.077,0.069,0.037000000000000005,0.184,0.47700000000000004,73.843
122,78,20,18,1,20,224803,0.542,0.637,0.047,0.242,0.02,0.22,0.682,70.0
123,79,245,225,1,171,227251,0.6970000000000001,0.768,0.12300000000000001,0.10099999999999999,0.016,0.182,0.598,75.333
124,80,176,156,2,118,223173,0.6679999999999999,0.736,0.08900000000000001,0.044000000000000004,0.012,0.226,0.509,73.158
126,81,50,47,1,48,195365,0.627,0.488,0.054000000000000006,0.634,0.0,0.193,0.828,64.0
127,82,26,25,1,24,213452,0.726,0.675,0.09300000000000001,0.314,0.001,0.092,0.8320000000000001,82.0
128,83,18,18,1,17,215333,0.7020000000000001,0.653,0.047,0.12300000000000001,0.0,0.222,0.574,52.0
129,84,94,84,3,74,234243,0.619,0.794,0.046,0.136,0.003,0.237,0.691,77.389
130,85,205,96,2,45,225939,0.5539999999999999,0.55,0.047,0.271,0.075,0.242,0.52,69.652
131,86,99,92,1,68,251541,0.5489999999999999,0.682,0.043,0.22399999999999998,0.0,0.14300000000000002,0.42100000000000004,73.684
134,87,233,200,1,141,243578,0.72,0.664,0.126,0.213,0.0,0.16,0.66,77.786
135,88,53,44,1,39,257750,0.434,0.77,0.057999999999999996,0.040999999999999995,0.003,0.215,0.446,72.529
136,89,32,28,1,22,256490,0.725,0.6970000000000001,0.256,0.096,0.0,0.231,0.6459999999999999,70.6
138,90,130,119,1,103,256512,0.547,0.5920000000000001,0.038,0.306,0.006999999999999999,0.10400000000000001,0.5539999999999999,68.333
140,91,71,60,1,52,247399,0.47200000000000003,0.19399999999999998,0.031,0.5379999999999999,0.175,0.105,0.198,67.0
142,92,109,63,1,47,244305,0.5710000000000001,0.861,0.069,0.023,0.067,0.242,0.49200000000000005,57.5
143,93,37,23,1,17,223203,0.772,0.672,0.153,0.156,0.0,0.128,0.307,78.667
144,94,60,52,4,41,240136,0.62,0.408,0.034,0.698,0.033,0.11599999999999999,0.588,67.667
145,95,46,38,1,14,284555,0.488,0.721,0.083,0.16899999999999998,0.038,0.22,0.5,77.704
146,96,198,59,2,34,224463,0.505,0.831,0.087,0.086,0.006,0.233,0.473,70.622
147,97,10,9,1,8,217025,0.652,0.731,0.032,0.19899999999999998,0.0,0.113,0.812,69.333
148,98,141,117,1,93,222358,0.6,0.7859999999999999,0.059000000000000004,0.055999999999999994,0.013000000000000001,0.267,0.539,72.706
150,99,130,98,2,75,217483,0.629,0.745,0.07200000000000001,0.12,0.0,0.19399999999999998,0.565,77.4
151,100,42,41,1,32,229433,0.535,0.397,0.035,0.624,0.0,0.11699999999999999,0.424,71.25
152,101,89,74,1,66,222968,0.5720000000000001,0.813,0.052000000000000005,0.09699999999999999,0.01,0.18100000000000002,0.578,79.333
153,102,29,27,1,20,245387,0.526,0.49200000000000005,0.036000000000000004,0.504,0.006,0.218,0.47,71.333
154,103,50,44,1,41,225804,0.657,0.742,0.08900000000000001,0.136,0.002,0.185,0.539,71.429
155,104,24,20,1,20,239973,0.519,0.419,0.035,0.8420000000000001,0.28800000000000003,0.115,0.355,51.0
156,105,188,157,2,103,260705,0.648,0.759,0.306,0.013999999999999999,0.0,0.648,0.518,70.0
157,106,22,22,1,16,203835,0.523,0.34,0.035,0.7440000000000001,0.02,0.10300000000000001,0.473,65.8
158,107,102,94,3,86,226121,0.5,0.632,0.051,0.337,0.002,0.207,0.47200000000000003,73.286
159,108,33,32,1,27,270068,0.58,0.48100000000000004,0.08,0.38799999999999996,0.001,0.153,0.316,74.6
160,109,7,7,1,7,208708,0.792,0.518,0.062,0.166,0.0,0.17600000000000002,0.34299999999999997,72.667
161,110,161,118,2,68,234579,0.684,0.713,0.067,0.14300000000000002,0.064,0.132,0.493,73.667
162,111,41,40,1,21,281131,0.5770000000000001,0.547,0.037000000000000005,0.15,0.0,0.195,0.634,32.5
163,112,61,34,1,22,247919,0.573,0.83,0.063,0.039,0.011000000000000001,0.205,0.511,71.833
164,113,46,43,5,35,230273,0.74,0.698,0.185,0.06,0.0,0.337,0.446,73.0
166,114,55,51,7,41,233939,0.647,0.6659999999999999,0.037000000000000005,0.141,0.0,0.134,0.785,74.429
167,115,74,40,3,23,235575,0.589,0.392,0.05,0.8240000000000001,0.002,0.188,0.319,63.667
168,116,12,11,1,9,232685,0.505,0.723,0.04,0.177,0.06,0.19699999999999998,0.632,72.778
169,117,134,125,2,110,266832,0.618,0.518,0.04,0.637,0.469,0.066,0.575,58.0
170,118,52,42,1,29,256850,0.7659999999999999,0.727,0.251,0.17,0.052000000000000005,0.20199999999999999,0.6859999999999999,72.444
171,119,29,21,1,18,211784,0.53,0.7659999999999999,0.054000000000000006,0.013999999999999999,0.001,0.106,0.374,75.0
172,120,41,35,1,33,217985,0.643,0.69,0.076,0.092,0.0,0.14400000000000002,0.494,77.667
173,121,95,89,1,70,259231,0.78,0.695,0.162,0.295,0.016,0.14300000000000002,0.7959999999999999,73.857
174,122,16,15,1,15,219596,0.6409999999999999,0.508,0.034,0.44799999999999995,0.0,0.19,0.6,65.0
176,123,141,106,1,73,216862,0.642,0.6409999999999999,0.055,0.184,0.001,0.133,0.475,73.417
178,124,70,53,1,38,217450,0.818,0.6759999999999999,0.198,0.076,0.004,0.172,0.46,81.4
179,125,21,20,2,20,232104,0.667,0.716,0.07400000000000001,0.3,0.0,0.11599999999999999,0.723,72.25
180,126,17,15,1,6,232640,0.49,0.9470000000000001,0.061,0.011000000000000001,0.001,0.207,0.474,73.5
181,127,27,27,1,21,218421,0.625,0.772,0.040999999999999995,0.043,0.011000000000000001,0.299,0.39799999999999996,65.5
182,128,171,142,5,110,215188,0.66,0.6,0.07400000000000001,0.2,0.005,0.145,0.441,69.842
183,129,85,45,1,28,215595,0.445,0.865,0.054000000000000006,0.012,0.004,0.126,0.373,67.6
184,130,50,42,1,41,246447,0.516,0.67,0.04,0.301,0.077,0.147,0.45299999999999996,74.0
185,131,121,109,5,90,226525,0.6509999999999999,0.732,0.059000000000000004,0.08199999999999999,0.002,0.126,0.544,74.8
186,132,41,25,1,21,221692,0.6629999999999999,0.6459999999999999,0.069,0.086,0.0,0.18899999999999997,0.605,78.667
188,133,17,17,1,17,264737,0.5329999999999999,0.45899999999999996,0.03,0.345,0.002,0.124,0.722,68.333
192,134,37,33,1,26,232945,0.804,0.708,0.08900000000000001,0.013999999999999999,0.003,0.159,0.591,77.0
193,135,14,13,1,12,225832,0.7390000000000001,0.722,0.045,0.057,0.0,0.106,0.5660000000000001,73.0
194,136,130,115,1,92,224127,0.664,0.603,0.07400000000000001,0.307,0.018000000000000002,0.23199999999999998,0.46,70.222
195,137,68,63,1,51,244272,0.428,0.495,0.035,0.408,0.0,0.152,0.2,45.0
196,138,29,29,1,28,242466,0.579,0.82,0.038,0.055999999999999994,0.01,0.34299999999999997,0.5,67.667
197,139,57,55,1,53,248357,0.49,0.644,0.028999999999999998,0.275,0.679,0.19699999999999998,0.414,52.0
199,140,79,53,5,52,249347,0.537,0.39799999999999996,0.086,0.6809999999999999,0.0,0.23399999999999999,0.36200000000000004,76.4
201,141,46,42,1,41,209021,0.598,0.767,0.077,0.038,0.0,0.154,0.615,72.5
203,142,47,45,1,37,230539,0.612,0.667,0.136,0.19399999999999998,0.0,0.20600000000000002,0.457,76.5
205,143,49,44,1,40,247219,0.61,0.6970000000000001,0.08,0.14300000000000002,0.008,0.1,0.54,77.25
206,144,5,5,1,5,241493,0.7020000000000001,0.655,0.149,0.268,0.0,0.14400000000000002,0.608,73.5
209,145,52,41,2,34,213564,0.733,0.6970000000000001,0.054000000000000006,0.11900000000000001,0.0,0.209,0.684,69.0
210,146,123,54,1,50,179463,0.5660000000000001,0.47700000000000004,0.063,0.862,0.0,0.126,0.8290000000000001,63.5
211,147,79,67,2,45,249783,0.7390000000000001,0.725,0.135,0.17800000000000002,0.0,0.21,0.611,76.133
212,148,146,115,1,68,221583,0.711,0.73,0.053,0.248,0.0,0.113,0.603,72.5
214,149,157,141,1,113,224581,0.638,0.752,0.106,0.081,0.005,0.225,0.495,72.885
215,150,41,39,2,34,214332,0.578,0.782,0.06,0.055,0.09300000000000001,0.22399999999999998,0.6890000000000001,72.0
217,151,148,36,1,18,221587,0.534,0.731,0.042,0.214,0.0,0.11599999999999999,0.42,73.75
218,152,98,93,1,74,217341,0.8029999999999999,0.733,0.22699999999999998,0.13,0.003,0.115,0.647,68.63600000000001
220,153,68,19,1,35,221379,0.613,0.466,0.23,0.43799999999999994,0.0,0.195,0.462,63.343999999999994
222,154,17,17,1,16,220008,0.611,0.51,0.078,0.49200000000000005,0.0,0.13,0.552,69.75
223,155,120,106,10,76,248918,0.496,0.564,0.04,0.344,0.004,0.204,0.569,72.312
224,156,115,103,3,91,268698,0.535,0.562,0.042,0.395,0.051,0.153,0.376,71.833
225,157,80,74,1,51,212303,0.6709999999999999,0.813,0.096,0.105,0.07,0.21,0.6659999999999999,76.0
228,158,176,170,1,134,251034,0.597,0.602,0.054000000000000006,0.29,0.005,0.196,0.565,71.058
231,159,229,80,9,40,227477,0.455,0.8759999999999999,0.09300000000000001,0.023,0.009000000000000001,0.223,0.405,71.5
232,160,50,47,1,44,216958,0.648,0.6609999999999999,0.055999999999999994,0.158,0.013999999999999999,0.177,0.466,72.455
235,161,40,32,1,25,213703,0.606,0.753,0.10300000000000001,0.149,0.0,0.13,0.638,75.333
236,162,48,46,1,40,246976,0.5529999999999999,0.723,0.036000000000000004,0.124,0.0,0.205,0.603,77.3
237,163,92,84,3,67,239632,0.596,0.628,0.055,0.244,0.006999999999999999,0.21100000000000002,0.6609999999999999,74.14699999999999
239,164,124,53,1,20,230107,0.774,0.581,0.179,0.163,0.008,0.12,0.43799999999999994,81.25
242,165,18,16,1,14,205807,0.64,0.722,0.04,0.157,0.004,0.092,0.61,82.5
243,166,123,117,1,92,254432,0.5820000000000001,0.6659999999999999,0.044000000000000004,0.184,0.044000000000000004,0.154,0.665,72.459
244,167,67,52,1,33,223649,0.696,0.6829999999999999,0.024,0.179,0.025,0.102,0.736,73.5
245,168,62,57,1,56,215817,0.551,0.732,0.059000000000000004,0.278,0.006,0.18100000000000002,0.722,72.833
246,169,67,64,1,60,255425,0.505,0.705,0.11900000000000001,0.055,0.0,0.129,0.484,74.0
247,170,18,12,1,13,213449,0.45,0.316,0.087,0.648,0.0,0.322,0.40700000000000003,68.667
248,171,25,20,1,17,196693,0.509,0.373,0.054000000000000006,0.774,0.001,0.213,0.569,58.0
249,172,31,30,1,24,214251,0.648,0.696,0.048,0.29600000000000004,0.049,0.138,0.8370000000000001,67.5
250,173,31,30,1,23,232327,0.622,0.584,0.042,0.37799999999999995,0.001,0.175,0.23199999999999998,79.667
252,174,96,66,1,25,214720,0.6409999999999999,0.649,0.027000000000000003,0.396,0.0,0.102,0.679,75.5
253,175,78,69,4,53,225176,0.7609999999999999,0.588,0.19699999999999998,0.11800000000000001,0.0,0.172,0.491,75.833
254,176,37,28,2,23,221286,0.638,0.828,0.066,0.026000000000000002,0.0,0.14,0.68,73.857
256,177,66,50,1,38,231899,0.578,0.763,0.045,0.07400000000000001,0.039,0.166,0.542,76.0
262,178,145,114,1,77,214561,0.67,0.75,0.062,0.154,0.002,0.204,0.6679999999999999,75.105
263,179,44,40,1,32,222272,0.6609999999999999,0.524,0.172,0.77,0.0,0.265,0.511,82.0
264,180,188,181,4,167,241193,0.564,0.773,0.078,0.051,0.066,0.23600000000000002,0.405,62.5
265,181,120,30,1,23,227560,0.68,0.585,0.057999999999999996,0.363,0.001,0.12,0.517,68.0
266,182,12,12,1,12,224365,0.40299999999999997,0.831,0.08199999999999999,0.297,0.0,0.115,0.525,65.5
267,183,38,25,1,21,214235,0.589,0.7170000000000001,0.10800000000000001,0.109,0.0,0.134,0.376,76.4
268,184,35,35,1,35,221211,0.649,0.8,0.08900000000000001,0.077,0.0,0.28600000000000003,0.5,73.333
271,185,22,19,1,17,241442,0.622,0.867,0.064,0.006,0.004,0.171,0.47,73.5
272,186,13,12,1,10,228777,0.6940000000000001,0.584,0.038,0.37200000000000005,0.001,0.151,0.331,77.0
273,187,17,17,1,17,239307,0.45799999999999996,0.878,0.075,0.024,0.0,0.531,0.39,77.0
274,188,59,47,1,39,250065,0.536,0.7659999999999999,0.051,0.141,0.034,0.195,0.585,76.1
275,189,66,50,1,44,219816,0.469,0.846,0.084,0.086,0.016,0.19899999999999998,0.295,74.667
277,190,46,34,1,25,235489,0.58,0.813,0.078,0.062,0.081,0.16,0.5710000000000001,76.8
279,191,97,81,1,60,227739,0.628,0.698,0.099,0.08199999999999999,0.0,0.18,0.431,73.55
280,192,55,46,1,27,231500,0.49200000000000005,0.674,0.055999999999999994,0.205,0.139,0.157,0.638,69.5
281,193,58,18,4,5,306358,0.611,0.418,0.047,0.608,0.022000000000000002,0.25,0.5,66.333
282,194,34,31,1,27,200755,0.764,0.483,0.052000000000000005,0.11,0.42700000000000005,0.08,0.424,69.5
283,195,108,82,1,67,238211,0.491,0.426,0.037000000000000005,0.616,0.003,0.138,0.32299999999999995,65.8
284,196,73,51,1,35,255715,0.65,0.599,0.105,0.20600000000000002,0.0,0.261,0.397,72.667
285,197,99,69,1,43,231865,0.836,0.647,0.142,0.09300000000000001,0.003,0.161,0.517,77.273
291,198,70,59,1,37,228563,0.514,0.7759999999999999,0.049,0.24600000000000002,0.0,0.073,0.579,73.0
292,199,38,13,1,27,183007,0.42200000000000004,0.327,0.069,0.68,0.001,0.188,0.43700000000000006,63.888999999999996
294,200,83,62,1,42,225519,0.826,0.49700000000000005,0.193,0.105,0.006999999999999999,0.14,0.307,82.0
295,201,47,35,2,38,191899,0.594,0.498,0.052000000000000005,0.461,0.003,0.386,0.73,57.0
296,202,35,31,11,26,237733,0.485,0.491,0.028999999999999998,0.23399999999999999,0.0,0.10099999999999999,0.248,57.5
297,203,81,7,1,44,186018,0.647,0.451,0.163,0.385,0.0,0.145,0.49700000000000005,59.5
298,204,49,32,1,19,253665,0.537,0.365,0.034,0.5579999999999999,0.0,0.131,0.47600000000000003,62.333
302,205,105,90,1,81,239065,0.485,0.59,0.033,0.342,0.075,0.125,0.38299999999999995,65.23100000000001
305,206,26,25,3,19,215115,0.385,0.8170000000000001,0.051,0.013999999999999999,0.004,0.23800000000000002,0.515,67.0
307,207,24,23,1,20,260553,0.447,0.684,0.037000000000000005,0.22699999999999998,0.0,0.174,0.35600000000000004,74.0
309,208,47,45,1,42,227275,0.585,0.841,0.057999999999999996,0.11599999999999999,0.009000000000000001,0.182,0.677,77.917
310,209,51,43,1,32,239600,0.838,0.777,0.212,0.08199999999999999,0.0,0.325,0.6890000000000001,67.0
314,210,38,37,1,23,250153,0.684,0.665,0.289,0.358,0.0,0.134,0.361,66.5
315,211,29,26,2,20,237168,0.535,0.741,0.057999999999999996,0.10300000000000001,0.005,0.20199999999999999,0.612,76.105
316,212,54,49,1,43,250975,0.765,0.6809999999999999,0.10300000000000001,0.094,0.24,0.14400000000000002,0.521,69.333
319,213,63,50,1,38,227401,0.6,0.49700000000000005,0.034,0.39299999999999996,0.004,0.141,0.38299999999999995,67.875
320,214,26,26,2,25,213180,0.609,0.647,0.06,0.245,0.003,0.10099999999999999,0.45299999999999996,77.0
321,215,31,7,1,3,216964,0.635,0.6609999999999999,0.08,0.157,0.0,0.094,0.478,78.75
323,216,30,22,1,12,236286,0.516,0.799,0.052000000000000005,0.034,0.001,0.132,0.508,79.688
324,217,74,63,3,40,301069,0.415,0.657,0.042,0.115,0.0,0.27399999999999997,0.278,54.736999999999995
325,218,34,18,1,26,194095,0.409,0.282,0.077,0.706,0.0,0.2,0.474,63.067
326,219,101,80,3,51,249332,0.523,0.748,0.055,0.087,0.035,0.225,0.578,76.64699999999999
327,220,18,18,1,15,177248,0.599,0.441,0.065,0.58,0.0,0.087,0.693,77.333
328,221,123,97,4,48,208683,0.603,0.467,0.037000000000000005,0.287,0.002,0.18100000000000002,0.695,74.75
330,222,179,170,1,149,255576,0.633,0.73,0.063,0.12300000000000001,0.129,0.21,0.445,64.76899999999999
331,223,135,118,5,92,247676,0.605,0.6990000000000001,0.045,0.166,0.002,0.174,0.6629999999999999,73.743
333,224,55,37,2,30,246702,0.353,0.17,0.034,0.485,0.8190000000000001,0.091,0.08,56.25
334,225,124,101,1,80,239016,0.49,0.797,0.05,0.048,0.044000000000000004,0.18600000000000003,0.547,73.55199999999999
335,226,143,94,2,57,212898,0.852,0.601,0.16899999999999998,0.157,0.003,0.175,0.462,74.75
336,227,5,5,1,4,234120,0.5720000000000001,0.512,0.028999999999999998,0.32899999999999996,0.0,0.099,0.609,70.5
338,228,118,80,1,57,238329,0.545,0.728,0.045,0.19,0.008,0.152,0.493,73.19
339,229,126,77,4,47,364032,0.38299999999999995,0.593,0.034,0.151,0.0,0.312,0.207,51.385
341,230,209,165,3,127,239924,0.64,0.594,0.079,0.318,0.032,0.174,0.46799999999999997,72.273
342,231,167,127,1,111,259466,0.5720000000000001,0.672,0.081,0.22399999999999998,0.005,0.11599999999999999,0.517,70.76899999999999
343,232,32,29,1,25,247331,0.552,0.748,0.05,0.156,0.034,0.184,0.645,76.471
344,233,35,31,1,23,187008,0.507,0.457,0.08199999999999999,0.51,0.0,0.161,0.601,73.5
346,234,12,12,2,11,221794,0.5920000000000001,0.614,0.05,0.215,0.0,0.171,0.24600000000000002,73.0
348,235,202,119,1,76,222210,0.648,0.716,0.051,0.113,0.006,0.18,0.509,74.125
349,236,26,25,1,24,203337,0.6809999999999999,0.76,0.062,0.085,0.0,0.154,0.561,75.75
350,237,83,70,1,40,238401,0.7090000000000001,0.8009999999999999,0.086,0.196,0.0,0.17800000000000002,0.662,74.8
351,238,59,54,1,49,234584,0.647,0.7,0.106,0.17600000000000002,0.005,0.217,0.4,67.143
353,239,23,16,3,10,236683,0.599,0.401,0.048,0.736,0.003,0.109,0.28300000000000003,75.0
354,240,64,57,1,45,269242,0.528,0.727,0.085,0.233,0.021,0.23,0.633,70.222
355,241,70,62,1,45,222756,0.647,0.696,0.151,0.18899999999999997,0.0,0.16699999999999998,0.557,77.25
356,242,38,25,1,23,198426,0.67,0.38299999999999995,0.17,0.20800000000000002,0.006999999999999999,0.14400000000000002,0.391,77.333
357,243,161,151,1,124,256434,0.514,0.48100000000000004,0.114,0.325,0.124,0.22399999999999998,0.402,71.0
358,244,75,58,1,42,225189,0.556,0.701,0.055999999999999994,0.147,0.0,0.114,0.51,75.333
359,245,54,52,1,45,222440,0.632,0.7759999999999999,0.10099999999999999,0.062,0.0,0.151,0.628,70.4
360,246,132,121,1,107,224339,0.6629999999999999,0.6659999999999999,0.08900000000000001,0.126,0.012,0.242,0.534,75.76899999999999
361,247,79,74,1,63,234927,0.633,0.7809999999999999,0.071,0.182,0.006,0.2,0.57,72.0
362,248,236,163,1,114,217688,0.5710000000000001,0.462,0.057,0.49,0.002,0.11599999999999999,0.451,68.704
363,249,101,90,1,58,246214,0.512,0.75,0.062,0.152,0.059000000000000004,0.177,0.5479999999999999,73.542
